Property Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Occupied description,Reaons Empty,Empty from,Mandatory Reliefs,Date From,DISC Reliefs,Date From,Retail Relief,Other Reliefs,Date From, Total Net Liability ,Local Reval Relief
9010310,,"1st Flr Unit 1, Moors Shopping Centre, South Hawksworth Street, Ilkley, LS29 9LB",LS29 9LB,53.92555,-1.82577,2017-04-24,1200,CW3,,2017-04-24,Y,Occupied,,,,,,,,,, ‹¨«589.20 ,
9010311,,"Basement Store, 173, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,1025,CW3,,2018-04-01,,Empty,Exempt below RV,01/08/2018,,,,,,,, ‹¨«-   ,
9010312,Wilfrids Law Limited,"Lower Gnd Floor, 171, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,7700,CO,,2018-07-01,Y,Occupied,,,Small Business Rates Relief,01/07/2018,,,,,, ‹¨«-   ,
9010313,,"Ground Floor, 171, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,2600,CO,,2018-04-01,,Empty,Exempt below RV,01/08/2018,,,,,,,, ‹¨«-   ,
9010314,Shipcert Limited,"Office G1, Ground Floor, 171, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,1950,CO,,2017-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
9010315,,"Office G2, Ground Floor, 171, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,1150,CO,,2018-04-01,,Empty,Exempt below RV,01/08/2018,,,,,,,, ‹¨«-   ,
9010316,Legend Legal Ltd,"Office G3, Ground Floor, 171, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,5300,CO,,2017-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
9010317,,"Conference Room, 173, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,2750,CO,,2018-07-01,Y,Occupied,,,Small Business Rates Relief,01/07/2018,,,,,, ‹¨«-   ,
9010318,International Humanitarian Relief,"1st Floor, 171, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,10500,CO,,2017-04-01,Y,Occupied,,,Mandatory Charity Relief,01/04/2017,,,,,," ‹¨«1,058.40 ",
9010319,Baker Reign Limited T/A Baker Reign,"2nd Floor, 171, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,7500,CO,,2018-07-09,Y,Occupied,,,Small Business Rates Relief,09/07/2018,,,,,, ‹¨«-   ,
9010320,Amazon Glazing Limited,"3rd Floor, 171, Sunbridge Road, Bradford, BD1 2HB",BD1 2HB,53.79523,-1.76273,2017-04-01,6300,CO,,2017-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
9010321,Inn Business Accounting Limited,"1 Prospect House, Sandbeds, Queensbury, BD13 1AD",BD13 1AD,53.76848,-1.84312,2016-09-15,5400,CO,,2016-09-15,Y,Occupied,,,Small Business Rates Relief,15/09/2016,,,,,, ‹¨«-   ,
9010322,Prestige It Support Limited,"Room 1.1 At, 2-3 Prospect House, Sandbeds, Queensbury, BD13 1AD",BD13 1AD,53.76848,-1.84312,2017-07-15,1425,CO,,2019-03-01,Y,Occupied,,,Small Business Rates Relief,01/03/2019,,,,,, ‹¨«-   ,
9010323,Best Fit Recruitment Limited,"Room 1.2 At, 2-3 Prospect House, Sandbeds, Queensbury, BD13 1AD",BD13 1AD,53.76848,-1.84312,2017-07-15,1925,CO,,2017-07-15,Y,Occupied,,,Small Business Rates Relief,15/07/2017,,,,,, ‹¨«-   ,
9010324,Dc Liptrot & Co Ltd,"Room 1.3 At, 2-3 Prospect House, Sandbeds, Queensbury, BD13 1AD",BD13 1AD,53.76848,-1.84312,2017-07-15,2275,CO,,2017-08-15,Y,Occupied,,,Small Business Rates Relief,15/08/2017,,,,,, ‹¨«-   ,
9010325,,"860-862, Leeds Road, Bradford, BD3 8EZ",BD3 8EZ,53.79226,-1.72524,2017-06-25,16250,CS,,2019-02-07,,Empty,Empty Charge Retail,31/10/2019,,,,,,,," ‹¨«5,182.21 ",
9010326,,"1st Floor, 860-862, Leeds Road, Bradford, BD3 8EZ",BD3 8EZ,53.79226,-1.72524,2017-06-25,7800,CO,,2019-07-17,Y,Occupied,,,,,,,,,," ‹¨«2,710.16 ",
9010327,Amafhh Investments Bradford Limited,"Hield Bros, Briggella Mills, Little Horton Lane, Bradford, BD5 0QA",BD5 0QA,53.77878,-1.76598,2017-03-22,77500,IF,,2018-10-22,Y,Occupied,,,,,,,,,, ‹¨«-   ,
9010328,Amafhh Investments Bradford Limited,"Part 2nd Floor, Brigella Mills, Little Horton Lane, Bradford, BD5 0QA",BD5 0QA,53.77878,-1.76598,2017-03-22,5000,IF3,SNOOKER CENTRE AND PREMISES,2018-10-22,Y,Occupied,,,,,,,,,, ‹¨«-   ,
9010329,,"Unit 2, Qlm Building, Idle Road, Bradford, BD2 2AH",BD2 2AH,53.81726,-1.73452,2018-04-01,10500,CS,,2018-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2018,,,,,, ‹¨«-   ,
9010330,,"Unit 3, Qlm Building, Idle Road, Bradford, BD2 2AH",BD2 2AH,53.81726,-1.73452,2017-07-24,11000,CS,,2017-07-24,Y,Occupied,,,Small Business Rates Relief,24/07/2017,,,,,, ‹¨«-   ,
9010331,Steves Carpet & Flooring Ltd,"Unit 4, Qlm Building, Idle Road, Bradford, BD2 2AH",BD2 2AH,53.81726,-1.73452,2017-07-24,10250,CS,,2017-07-24,Y,Occupied,,,Small Business Rates Relief,24/07/2017,,,,,, ‹¨«-   ,
9010332,Noona Interiors Online Limited,"Unit 5, Qlm Building, Idle Road, Bradford, BD2 2AH",BD2 2AH,53.81726,-1.73452,2017-07-24,10250,CS,,2017-07-24,Y,Occupied,,,Small Business Rates Relief,24/07/2017,,,,,, ‹¨«-   ,
9010333,Tkm Online Limited,"Unit 6, Qlm Building, Idle Road, Bradford, BD2 2AH",BD2 2AH,53.81726,-1.73452,2018-04-01,10000,CS,,2018-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2018,,,,,, ‹¨«-   ,
9010334,,"Unit 7, Qlm Building, Idle Road, Bradford, BD2 2AH",BD2 2AH,53.81726,-1.73452,2017-07-24,6300,CS,,2017-07-24,Y,Occupied,,,Small Business Rates Relief,24/07/2017,,,,,, ‹¨«-   ,
9010335,Cbdshed Ltd,"Unit 8 (1st Flr), Qlm Building, Idle Road, Bradford, BD2 2AH",BD2 2AH,53.81726,-1.73452,2018-04-01,1500,CS4,,2018-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2018,,,,,, ‹¨«-   ,
9010336,E.A. Wheelhouse Limited,"Basement, Qlm Building, Idle Road, Bradford, BD2 2AH",BD2 2AH,53.81726,-1.73452,2018-05-01,17250,IF3,"STORAGE, WORKSHOP AND PREMISES",2018-11-01,Y,Occupied,,,,,,,,,," ‹¨«8,469.75 ",
9010337,Nafees Bakers Limited,"Unit 1 At, 370, Thornton Road, Bradford, BD8 8LQ",BD8 8LQ,53.79898,-1.7788,2016-04-01,51000,IF3,,2016-04-01,Y,Occupied,,,,,,,,,," ‹¨«25,704.00 ",
9010338,Whetley Mills (Properties) Limited,"Unit 3 At, 370, Thornton Road, Bradford, BD8 8LQ",BD8 8LQ,53.79898,-1.7788,2016-04-01,55000,IF3,,2016-04-01,,Empty,Exempt Listed Building,01/04/2016,,,,,,,, ‹¨«-   ,
9010339,I K Clearance Limited,"360, Girlington Road, Bradford, BD8 9PA",BD8 9PA,53.80461,-1.7884,2017-04-01,10250,CS,,2017-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
9010340,,"362, Girlington Road, Bradford, BD8 9PA",BD8 9PA,53.80461,-1.7884,2017-04-01,9200,CS,,2017-05-08,Y,Occupied,,,Small Business Rates Relief,08/05/2017,,,,,, ‹¨«-   ,
9010341,,"364, Girlington Road, Bradford, BD8 9PA",BD8 9PA,53.80461,-1.7884,2017-04-01,9200,CS,,2017-05-08,Y,Occupied,,,Small Business Rates Relief,08/05/2017,,,,,, ‹¨«-   ,
9010342,,"366, Girlington Road, Bradford, BD8 9PA",BD8 9PA,53.80461,-1.7884,2017-04-01,14000,CS,,2019-05-01,Y,Occupied,,,Small Business Rates Relief,01/05/2019,,,Retail Discount,,," ‹¨«2,433.69 ",
9010343,Telefonica Uk Limited,"02 Telecommunication Mast Site Ref 80202, Junction Squire Lane, Allerton Road, Bradford, BD8 0AZ",BD8 0AZ,53.80092,-1.7965,2017-06-14,4750,MT1,,2017-06-14,Y,Occupied,,,,,,,,,," ‹¨«2,332.25 ",
9010344,,"Unit 1, 513, Otley Road, Bradford, BD2 4QL",BD2 4QL,53.80873,-1.73026,2017-04-01,6300,CS,,2017-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
9010345,,"Tattoo Studio, 397, Beacon Road, Bradford, BD6 3NB",BD6 3NB,53.77236,-1.80787,2016-04-01,2475,CS,TATTOO PARLOUR & PREMISES,2016-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2016,,,,,, ‹¨«-   ,
9010346,Jmail Assets Limited,"Office 7 2nd Floor, Tradeforce Building, Cornwall Place, Bradford, BD8 7JT",BD8 7JT,53.80291,-1.75995,2017-07-01,660,CO,,2017-07-01,,Empty,Exempt below RV,01/07/2019,,,,,,,, ‹¨«-   ,
9010347,Driver Supply Ltd,"Office 8 2nd Floor, Tradeforce Building, Cornwall Place, Bradford, BD8 7JT",BD8 7JT,53.80291,-1.75995,2017-07-01,3800,CO,,2017-08-11,Y,Occupied,,,Small Business Rates Relief,11/08/2017,,,,,, ‹¨«-   ,
9010349,,"Unit 12c, Manningham Mills, Heaton Road, Bradford, BD9 4SH",BD9 4SH,53.81043,-1.78088,2017-04-06,6300,IF3,GYMNASIUM & PREMISES,2017-04-06,Y,Occupied,,,Small Business Rates Relief,06/04/2017,,,,,, ‹¨«-   ,
9010350,,"Unit 12b, Manningham Mills, Heaton Road, Bradford, BD9 4SH",BD9 4SH,53.81043,-1.78088,2017-04-06,9600,IF3,BOXING GYMNASIUM & PREMISES,2017-04-24,Y,Occupied,,,Small Business Rates Relief,24/04/2017,,,,,, ‹¨«-   ,
9010353,Fashionwise (Bradford) Limited,"Units 55-56 & 59-60, The Oastler Shopping Centre, John Street, Bradford, BD1 3SR",BD1 3SR,53.7963,-1.75777,2017-03-04,5800,CS,MARKET STALL ,2017-03-04,Y,Occupied,,,Small Business Rates Relief,04/03/2017,,,,,, ‹¨«-   ,
9010354,Bradford MDC,"Units 57 & 58, The Oastler Shopping Centre, John Street, Bradford, BD1 3SR",BD1 3SR,53.7963,-1.75777,2017-03-04,2800,CS,MARKET STALL,2017-03-04,,Empty,Exempt below RV,01/04/2017,,,,,,,, ‹¨«-   ,
9010356,,"One Shot Snooker Centre, Greenhill Resource Centre, Florence Street, Bradford, BD3 8EX",BD3 8EX,53.79172,-1.72356,2016-11-01,5900,LC,SNOOKER CENTRE & PREMISES,2016-11-01,Y,Occupied,,,Small Business Rates Relief,01/11/2016,,,,,, ‹¨«-   ,
9010357,,"Greenhill Resource Centre, Florence Street, Bradford, BD3 8EX",BD3 8EX,53.79172,-1.72356,2016-11-01,58500,EP,SCHOOL AND PREMISES,2019-03-20,,Empty,Empty Charge Retail,18/06/2019,,,,,,,," ‹¨«23,200.52 ",
9010358,Crystal Vapes Ltd,"115, Fagley Road, Bradford, BD2 3LR",BD2 3LR,53.8068,-1.7213,2017-03-01,2750,CS,,2017-03-01,Y,Occupied,,,Small Business Rates Relief,01/03/2017,,,,,, ‹¨«-   ,
9010359,,"Land Adj Section 3, Former Thirsty Drinks, Bradford Lane, Bradford, BD3 8LS",BD3 8LS,53.79284,-1.7159,2017-07-31,22500,CW1,,2017-07-31,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«7,365.00 ",
9010362,,"200, Leeds Road, Shipley, BD18 1EA",BD18 1EA,53.83612,-1.75982,2017-07-10,4150,CS,,2019-08-02,Y,Occupied,,,Small Business Rates Relief,02/08/2019,,,,,, ‹¨«-   ,
9010363,Sunbridge Wells Limited,"Barrow Stall 1, Sunbridge Wells, Lower Millergate, Bradford, BD1 1SY",BD1 1SY,53.79379,-1.75526,2017-02-28,500,CS,STALL AND PREMISES,2017-02-28,,Empty,Exempt Listed Building,28/02/2017,,,,,,,, ‹¨«-   ,
9010364,Sunbridge Wells Limited,"Barrow Stall 2, Sunbridge Wells, Lower Millergate, Bradford, BD1 1SY",BD1 1SY,53.79379,-1.75526,2017-02-28,500,CS,STALL AND PREMISES,2017-02-28,,Empty,Exempt Listed Building,28/02/2017,,,,,,,, ‹¨«-   ,
9010365,Sunbridge Wells Limited,"Barrow Stall 3, Sunbridge Wells, Lower Millergate, Bradford, BD1 1SY",BD1 1SY,53.79379,-1.75526,2017-02-28,500,CS,STALL AND PREMISES,2017-02-28,,Empty,Exempt Listed Building,28/02/2017,,,,,,,, ‹¨«-   ,
9010366,Sunbridge Wells Limited,"Barrow Stall 4, Sunbridge Wells, Lower Millergate, Bradford, BD1 1SY",BD1 1SY,53.79379,-1.75526,2017-02-28,500,CS,STALL AND PREMISES,2017-02-28,,Empty,Exempt below RV,01/04/2018,,,,,,,, ‹¨«-   ,
9010367,,"374, Great Horton Road, Bradford, BD7 3HS",BD7 3HS,53.78556,-1.77708,2017-05-16,4950,CS,BEAUTY SALON & PREMISES,2019-01-21,Y,Occupied,,,Small Business Rates Relief,21/01/2019,,,,,, ‹¨«-   ,
9010371,,"Unit 3, Sunbridge Wells, Lower Millergate, Bradford, BD1 1SY",BD1 1SY,53.79379,-1.75526,2017-01-21,1200,CS,,2019-02-01,Y,Occupied,,,Small Business Rates Relief,01/02/2019,,,,,, ‹¨«-   ,
9010372,,"Unit 4, Sunbridge Wells, Lower Millergate, Bradford, BD1 1SY",BD1 1SY,53.79379,-1.75526,2016-12-04,1700,CS,,2019-02-01,Y,Occupied,,,Small Business Rates Relief,01/02/2019,,,,,, ‹¨«-   ,
9010374,Sunbridge Wells Limited,"Units 7 & 8, Sunbridge Wells, Lower Millergate, Bradford, BD1 1SY",BD1 1SY,53.79379,-1.75526,2016-12-10,16000,CL1,BAR AND PREMISES,2016-12-10,,Empty,Exempt Listed Building,01/08/2019,,,,,,,, ‹¨«-   ,
9010375,Sunbridge Enterprises Ltd,"Alibi Bar, Sunbridge Wells, Upper Millergate, Bradford, BD1 1SX",BD1 1SX,53.79395,-1.75518,2016-12-10,24100,CL1,,2018-11-01,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«7,888.73 ",
9010376,The Sunbridge Wells Gin Bar Ltd,"Gin Bar, Sunbridge Wells, Upper Millergate, Bradford, BD1 1SX",BD1 1SX,53.79395,-1.75518,2016-12-10,16750,CL1,,2016-12-10,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«5,482.83 ",
9010377,,"Olicana Cottage, 8-9, High Mill Lane, Addingham, LS29 0RD",LS29 0RD,53.94773,-1.8781,2017-04-14,9100,CH1,SELF CATERING HOLIDAY UNIT AND PREMISES,2017-04-14,Y,Occupied,,,Small Business Rates Relief,14/04/2017,,,,,, ‹¨«-   ,
9010378,Bears Den (Yorkshire) Ltd,"1st Floor, Sunbridge Wells, 38-40, Sunbridge Road, Bradford, BD1 2AA",BD1 2AA,53.79372,-1.75469,2016-12-10,4800,CR,,2018-11-14,Y,Occupied,,,Small Business Rates Relief,14/11/2018,,,Retail Discount,,, ‹¨«-   ,
9010379,The Rose & Crown At Sunbridge Wells Ltd,"Rose & Crown, Gnd & 1st Floors, Sunbridge Wells, Upper Millergate, Bradford, BD1 1SX",BD1 1SX,53.79395,-1.75518,2017-04-14,11500,CL,,2017-04-14,Y,Occupied,,,Small Business Rates Relief,14/04/2017,,,,,, ‹¨«-   ,
9010380,Visage Promotions Ltd,"Laurel & Hardy Bar, 43a, Ivegate, Bradford, BD1 1SQ",BD1 1SQ,53.79383,-1.75446,2016-12-10,11500,CL1,,2019-07-20,Y,Occupied,,,Small Business Rates Relief,20/07/2019,,,,,, ‹¨«-   ,
9010382,David Lishman Limited,"23-27, Leeds Road, Ilkley, LS29 8DP",LS29 8DP,53.9264,-1.82124,2017-07-06,28750,CS,,2017-07-06,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«9,410.83 ",
9010383,Laxtons Ltd,"Unit 6, Sapper Jordan Rossi Park, Baildon, Shipley, BD17 7AX",BD17 7AX,53.84859,-1.74834,2017-10-09,81500,CW,,2017-10-09,Y,Occupied,,,,,,,,,," ‹¨«41,076.00 ",
9010386,Malik House Ltd,"Suite 19 First Floor , Oakwood Court, City Road, Bradford, BD8 8JY",BD8 8JY,53.79863,-1.77197,2016-02-01,1650,CO,,2016-02-01,,Empty,Exempt Listed Building,01/02/2016,,,,,,,, ‹¨«-   ,
9010387,Malik House Ltd,"Suite 20 First Floor, Oakwood Court , City Road, Bradford, BD8 8JY",BD8 8JY,53.79863,-1.77197,2016-02-01,2125,CO,,2016-02-01,,Empty,Exempt Listed Building,01/07/2018,,,,,,,, ‹¨«-   ,
9010388,Tce Cleaning Services Limited,"Suite 21 First Floor, Oakwood Court , City Road, Bradford, BD8 8JY",BD8 8JY,53.79863,-1.77197,2016-02-01,3100,CO,,2018-04-21,Y,Occupied,,,Small Business Rates Relief,21/04/2018,,,,,, ‹¨«-   ,
9010389,Best For Care Limited,"Suite 22 First Floor, Oakwood Court , City Road, Bradford, BD8 8JY",BD8 8JY,53.79863,-1.77197,2016-02-01,2450,CO,,2017-08-01,Y,Occupied,,,Small Business Rates Relief,01/08/2017,,,,,, ‹¨«-   ,
9010390,Unb Health Pvt Limited,"Suite 23 First Floor, Oakwood Court , City Road, Bradford, BD8 8JY",BD8 8JY,53.79863,-1.77197,2016-02-01,1325,CO,,2017-03-01,Y,Occupied,,,Small Business Rates Relief,01/03/2017,,,,,, ‹¨«-   ,
9010391,Siddiqui Accountancy Services Ltd,"Suite 24 First Floor, Oakwood Court , City Road, Bradford, BD8 8JY",BD8 8JY,53.79863,-1.77197,2016-02-01,1625,CO,,2016-02-01,Y,Occupied,,,Small Business Rates Relief,01/02/2016,,,,,, ‹¨«-   ,
9010392,Whetley Mills (Properties) Limited,"Unit 1 At, Oakwood Warehouse, Arthington Street, Bradford, BD8 8EY",BD8 8EY,53.79995,-1.77195,2017-04-01,52500,CW,,2017-04-01,Y,Occupied,,,,,,,,,," ‹¨«26,460.00 ",
9010393,,"Unit 4 , Oakwood Dyeworks, City Road, Bradford, BD8 8JX",BD8 8JX,53.79848,-1.77071,2017-04-01,9000,IF3,,2017-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
9010394,Whetley Mills (Properties) Limited,"Vacant Parts , Oakwood Dyeworks, City Road, Bradford, BD8 8JX",BD8 8JX,53.79848,-1.77071,2017-04-01,84000,CW,,2017-04-01,,Empty,Exempt Listed Building,01/04/2017,,,,,,,, ‹¨«-   ,
9010395,,"1st Floor, North Chapel, Ashlands Road, Ilkley, LS29 8JT",LS29 8JT,53.92954,-1.81328,2017-07-17,3850,CO,,2017-07-17,Y,Occupied,,,Small Business Rates Relief,17/07/2017,,,,,, ‹¨«-   ,
9010396,Ashlyn (Yorkshire) Limited,"Ground Floor , North Chapel, Ashlands Road, Ilkley, LS29 8JT",LS29 8JT,53.92954,-1.81328,2017-07-10,4500,CO,,2017-07-10,Y,Occupied,,,Small Business Rates Relief,10/07/2017,,,,,, ‹¨«-   ,
9010397,,"103c, Leeds Old Road, Bradford, BD3 8JW",BD3 8JW,53.80052,-1.71225,2017-04-01,7900,CS,,2017-05-01,Y,Occupied,,,Small Business Rates Relief,01/05/2017,,,,,, ‹¨«-   ,
9010399,,"Mb Motors, Hope Iron Works, Dick Lane, Bradford, BD4 8JD",BD4 8JD,53.78785,-1.71211,2016-07-27,9900,CG1,,2019-08-21,Y,Occupied,,,,,,,,,," ‹¨«1,663.20 ",
9010400,High Commission For The Islamic Republic Of Pakistan,"Ground & 1st Floors, Bradford Business Park, 1, Kings Gate, Canal Road, Bradford, BD1 4SJ",BD1 4SJ,53.80399,-1.75254,2017-05-01,25500,CO,,2017-05-01,Y,Occupied,,,,,,,,,," ‹¨«13,906.14 ",
9010401,Labbaik Hajj & Umra Services (Uk) Ltd,"Offices 2 & 3 Gf At, 263, Manningham Lane, Bradford, BD8 7NE",BD8 7NE,53.80749,-1.76706,2015-04-01,3950,CO,,2015-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2015,,,,,, ‹¨«-   ,
9010402,Labbaik Hajj & Umra Services (Uk) Ltd,"Bst Prayer Room At, 263, Manningham Lane, Bradford, BD8 7NE",BD8 7NE,53.80749,-1.76706,2015-04-01,820,CO,,2015-04-01,Y,Occupied,,,,,,,,,, ‹¨«290.64 ,
9010403,,"Wind Turbine At, Dobfield Farm, Todley Hall Road, Oakworth, Keighley, BD22 0QB",BD22 0QB,53.86346,-1.96768,2017-04-01,9675,FE,,2017-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
9010404,,"Wind Turbine At, Tewitt Hall Farm, White Lane, Oakworth, Keighley, BD22 0QR",BD22 0QR,53.84577,-1.97646,2017-04-01,9675,FE,,2017-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
9010406,,"38, Leeds Road, Ilkley, LS29 8DS",LS29 8DS,53.92618,-1.82094,2017-06-09,7600,CS,,2019-03-01,Y,Occupied,,,Small Business Rates Relief,01/03/2019,,,,,, ‹¨«-   ,
9010407,Repair Lab (Retail) Limited,"40, Leeds Road, Ilkley, LS29 8DS",LS29 8DS,53.92618,-1.82094,2017-06-09,6100,CS,,2018-09-04,Y,Occupied,,,Small Business Rates Relief,04/09/2018,,,,,, ‹¨«-   ,
9010408,Caversham Trading Limited,"1st Floor Store Above, 5, Market Street, Bradford, BD1 1LN",BD1 1LN,53.79416,-1.75183,2017-04-01,4800,CW3,,2017-04-01,Y,Occupied,,,,,,,,,, ‹¨«-   ,
9010409,,"816-818, Leeds Road, Bradford, BD3 9TY",BD3 9TY,53.7921,-1.72998,2017-03-10,15000,CS,,2017-07-10,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«4,910.00 ",
9010410,Bradford Law Solicitors Limited,"Ground Floor, 1, Marlborough Road, Bradford, BD8 7LD",BD8 7LD,53.80606,-1.76646,2017-04-29,9200,CO,,2017-04-29,Y,Occupied,,,Small Business Rates Relief,29/04/2017,,,,,, ‹¨«-   ,
9010411,Bradford Women'S Aid,"Old Education Room 1, Ground Floor Centre Of Excellence, 1, Hope Park, Trevor Foster Way, Bradford, BD5 8HH",BD5 8HH,53.77158,-1.74896,2016-08-30,12250,CO,,2018-03-12,Y,Occupied,,,Mandatory Charity Relief,12/03/2018,,,,,," ‹¨«1,234.80 ",
9010412,Inspexx Ltd,"Old Education Room 3, Ground Floor Centre Of Excellence, 1, Hope Park, Trevor Foster Way, Bradford, BD5 8HH",BD5 8HH,53.77158,-1.74896,2016-08-30,8900,CO,,2016-11-01,Y,Occupied,,,Small Business Rates Relief,30/11/2016,,,,,, ‹¨«-   ,
9010413,Olive Branch Bradford Ltd,"Old Education Room 4, Ground Floor Centre Of Excellence, 1, Hope Park, Trevor Foster Way, Bradford, BD5 8HH",BD5 8HH,53.77158,-1.74896,2016-08-30,5300,CO,,2016-08-30,Y,Occupied,,,Small Business Rates Relief,30/08/2016,,,,,, ‹¨«-   ,
9010414,Z1 Telecom Systems Ltd,"Old Education Room 2, Centre Of Excellence, 1, Hope Park, Trevor Foster Way, Bradford, BD5 8HH",BD5 8HH,53.77158,-1.74896,2016-08-30,10000,CO,,2016-12-01,Y,Occupied,,,Small Business Rates Relief,01/12/2016,,,,,, ‹¨«-   ,
9010415,,"Gf Greengates Cottage, 830, Harrogate Road, Bradford, BD10 0RA",BD10 0RA,53.83181,-1.71068,2015-04-01,0,CO,,2016-03-22,,Empty,Exempt Listed Building,22/03/2016,,,,,,,, ‹¨«-   ,
9010416,,"1st Floor Rhs Greengates Cottage, 830, Harrogate Road, Bradford, BD10 0RA",BD10 0RA,53.83181,-1.71068,2015-04-01,0,CO,,2015-04-01,,Empty,Exempt Listed Building,01/04/2015,,,,,,,, ‹¨«-   ,
9010417,,"Christmas Cottage, 149, Main Street, Addingham, LS29 0LZ",LS29 0LZ,53.94368,-1.88142,2017-03-31,3200,CH1,SELF CATERING HOLIDAY UNIT AND PREMISES,2017-03-31,Y,Occupied,,,Small Business Rates Relief,31/03/2017,,,,,, ‹¨«-   ,
9010418,Witherslack Group Ltd,"Broadbeck Learning Centre, Brearcliffe Drive, Bradford, BD6 2LE",BD6 2LE,53.76231,-1.78242,2016-10-14,37000,EP,SCHOOL AND PREMISES,2016-10-14,Y,Occupied,,,,,,,,,," ‹¨«18,167.00 ",
9010420,Compass Group Uk & Ireland Limited,"Lifestyle, Bradford Royal Infirmary, Duckworth Lane, Bradford, BD9 6RJ",BD9 6RJ,53.80598,-1.79469,2017-01-12,36500,CR,,2017-01-12,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«11,947.67 ",
9010421,Compass Group Uk & Ireland Limited,"M & S Simply Food, Bradford Royal Infirmary, Duckworth Lane, Bradford, BD9 6RJ",BD9 6RJ,53.80598,-1.79469,2017-01-12,46500,CS,,2017-01-12,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«15,221.00 ",
9010422,Compass Group Uk & Ireland Limited,"Amigo, Bradford Royal Infirmary, Duckworth Lane, Bradford, BD9 6RJ",BD9 6RJ,53.80598,-1.79469,2017-01-12,6200,CS,,2017-01-12,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«1,808.45 ",
9010423,Compass Group Uk & Ireland Limited,"Compass Store, Bradford Royal Infirmary, Duckworth Lane, Bradford, BD9 6RJ",BD9 6RJ,53.80598,-1.79469,2017-01-12,4300,CW3,,2017-01-12,Y,Occupied,,,,,,,,,," ‹¨«1,873.04 ",
9010424,Compass Group Uk & Ireland Limited,"Costa Coffee, Bradford Royal Infirmary, Duckworth Lane, Bradford, BD9 6RJ",BD9 6RJ,53.80598,-1.79469,2017-01-12,28500,CR1,,2017-01-12,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«9,329.00 ",
9010425,Notemachine Uk Limited,"Note Machine Atm At, Bradford Royal Infirmary, Duckworth Lane, Bradford, BD9 6RJ",BD9 6RJ,53.80598,-1.79469,2017-01-12,5900,CX,SITE OF AUTOMATIC TELLER MACHINE,2017-01-12,Y,Occupied,,,,,,,,,," ‹¨«2,896.90 ",
9010427,,"Regal Suite, Pt Unit 4, Hall Lane, Bradford, BD4 7DF",BD4 7DF,53.78553,-1.74431,2017-03-10,0,CO,,2017-03-10,Y,Occupied,,,,,,,,,, ‹¨«-   ,
9010428,,"Land Front Of Pt Unit 4, Regal Suite, Hall Lane, Bradford, BD4 7DF",BD4 7DF,53.78553,-1.74431,2017-03-10,3950,CW1,,2017-03-10,,Empty,Exempt not Relevent Hereditament,10/03/2017,,,,,,,, ‹¨«-   ,
